crime_id,WITNESS_TO,ACCOMPLICE_OF
00196bf89518161241d405622cfefa2cc3a02a1175b0133d9ca8d5d064e77981,595-90-8809,884-33-9676
875d234d8e6e4328aa54242aecbc5423ca3561cee28b6a420a33daee1109a261,213-32-1448,446-36-0249
de2d17e8d7782fbfb6f7ddd746954ae25dd3d5a7e6de4df429caa57f79474e48,689-65-9692,450-68-4090
de1c4d40bdb618664ce29c7edd6b329218b0c8ff01c18ab446755b38ab363d05,323-71-3763,256-31-7892
04b0d2f1b563a455d55b2f2c24ef86564f1146630fc7d392e657ecf5f47303da,463-00-8389,991-70-5333
211005c29462004762fe6e69cc516cd75c13e98f93b07101d16b1ad6cd65d5db,392-52-7176,852-52-0933
0bf340c716089d015fbbc05fdf0c907f56154b190b23da6f9706615ffabd6c20,659-67-2728,401-01-1355
2c3efee8d4682cff4081bebf3aecc9504c6a209b1f5dd11198f0c8c05904a05c,323-32-8478,535-67-6237
34f309ebafbd1c46b5c4832f63321a10330835a5ae323952419439b69633bb2c,493-92-1993,520-24-8922
da70cbe08c47605cf8bbda6ab9900b98194970d1900c8411a34db87da36fb3e1,658-56-4620,314-45-9119
5089b27d79376c8e223f1ab0e53832c8389359c010d47a0d418accf1d078dc90,689-65-9692,306-99-5229
cb58245b5903b1c02536c9f487c099015c1cc29405bce7107a6b99c1ccb81f0c,318-12-3766,709-64-4352
6ba2614f9ac57724d71386488b46a7abe6038afb28c9341f22a7ba718007a5fd,620-83-1546,646-37-8429
e35c34d58fa35f2110b059882a34703d132552a4ad408eac3f82f15aeb165f0f,797-43-7696,831-20-7307
ab71bb05a5b0620dfec3779eead19d2c121cb73ee58e51cc7306d0dc5ff471c0,625-92-4356,871-98-0966
2dec74f10fd12d8dcb28cb05ff058b4e4134ecb58d0e515c888f0611ca794339,885-46-4577,612-83-6356
60d7444027a1c798fc55910e26c58d7ad905abfbc664c1a22f8d5ab3e4a514d1,263-14-7231,291-79-2723
3fb1d502ed1a7ed9443ebc9f1653af314e3236b895734c921cfa0a7f29ff7987,913-69-6997,367-54-3328
9579a14e6bc7513e8f1d136955d4632a47d8d4b71f9d6df47229f2dc87681acc,386-26-5935,272-24-9625
293f05ee00257002e751596356366a729100d8c170a5cc5a4ce9021d3903f86d,797-43-7696,446-36-0249
2d2c4f941b8db05f097e07a248114ab0d63eba8f0858525f755edf9b48359f61,756-76-4958,577-47-4459
f2347ae91d4d8b7aaee066528005e823bad55bd702b10cbcbd8b49dc0d1e474b,383-26-3713,770-22-6561
f390cda1487a0b9b3bdce0b0e696677ce08b16afd153be4f1f3f58cbf8a0dd9b,484-38-1830,117-66-8129
2fc53446393a92f7d64b3f97168aff903d9795498ac00f5b2d9ec5faef79bc20,490-89-5771,576-99-9244
b0c085513cbd5b4960e53adb2d3bbf7f3996fd6bef087e77b05c48e1796c7db6,266-39-6752,804-54-6976
9a399f6a1e22d370d1c55186c5542c85d6019379e68d1e5d30b72346a5541d76,606-92-8035,820-53-4909
159108ee6a3d671ada28d968f4b16b15f8d2811cbb8664b2ec04dc43b93076cd,696-28-4220,362-49-5861
34f16237cac32a82724094222dd3b92bfe9f415864638071e144154d078d0af8,331-13-6835,615-88-9385
b61be51a27d699f46b6dc7c3ac594783101f5e728f9cf6df898e44fc48021942,784-43-0212,267-89-6011
3031668b59aedab1fd81af2306016fa09a7089c77cc76492749fbccc2acf40f4,308-53-8009,255-89-9885
a0b233062429d92e0bd04c0ae2c3e990d2919ede768c7da50ea2b706f7734597,328-87-5383,856-03-3848
9cdadc1c345c17336210079096c372a7faaae0268e4725edbb031e4a19a4bc45,612-83-6356,301-93-2650
576f4e50b1cbeb488c89bd28bd1697a1ad48fa0a5f4df857a844657e61f4487a,694-81-0546,690-09-2036
8dae6537bfb64a92cc91539ce9e76abf729f60592a9c503300905130afaacef4,681-29-5922,280-97-6061
10305fdb9613b698a9fe8a26468564ebe15ba01eb870994739180ffc51440c31,529-47-8404,502-24-6207
87b7f4fb4e9168b8c46dc5195ae75b68b2c2aeae6d7c36a6d2738280a2940f04,554-93-4466,253-58-9660
1dd5410f5671c2bf94ded7b096b6f6373c9ba84efe6b9a127c0dbcb43f0e30e4,991-70-5333,508-75-5974
9bc0db533b9248a8b3a7ac151f273fe01f25ad72b394dd5cc6ef9bd6558eb707,756-76-4958,679-66-9286
df4e954114d147be364d17d580cda1214ff694b614bdf76baa0a640d5bda74d3,765-24-1639,885-46-4577
604d9974b61ad764e7a7d81fd41af32d01237ec757322cf093e3915c7da4a722,613-15-7837,456-41-9569
90126024c75d0fb7c3a6850d53f4a85b1d43de0b07ed8cf3c3c62d23fca1d581,630-78-2095,797-43-7696
3a28c31c72ee5a22bc4187fb5f60480f686e361aa66d1b1860796e2d06872eb8,659-67-2728,301-93-2650
5d27068e1c7dfc3b15753febddce2cdd9b134fc935274892ac15281b991680f5,687-34-2480,649-24-1018
8aab5d71757708aeac451ffedfdecbcfffb8cdbdf5a07bdce397ed2ba7d6d8e3,770-22-6561,335-36-7489
70160845dc32f6cf61d614fa8a296d0e95a981d48325a57bcc73c9996bac7109,383-26-3713,206-59-6235
0e2192e79961a6572131429c9adbbae2a25b051a490e170913fb36bdb762f862,821-35-7665,450-68-4090
de763cd0639eb74b561ece65a2c0a429621885a08b5df9add8ad145580324086,646-37-8429,272-55-4293
0688b84e32727db6b059780dcb8589e7f47ba324f4014fdb4b0b48157f3b1d5e,209-45-4933,770-22-6561
5be9efc032b42417bbd359b39b765e53a0844ef847243de15fb0504ff02cc7f1,895-45-1258,483-40-6408
3eb963958375e460c9a8d0ce3aaf90a3eef814f4a3eeacd593854d5dab10d240,773-71-9737,885-46-4577
7e5b534ced67c554d8561ec2ee41db3d55ec5f8d4170a3eebd4cdcfb352cf483,362-49-5861,537-27-1654
bc055ec1e9bc9d1acdaa4ed4fc4ca01144db60736ea434ddc2ebf83346524c2a,253-58-9660,370-83-8697
152a8a41c66210536aa391aa10ed67211ae5b45fbb18c049a07c3d5eb24d1bbd,291-79-2723,686-68-0909
12f1b2047d523ae00ab71b5339aa71b466bc846c96199fa9f767b48f30ac3656,861-16-2336,507-22-5331
8ceacd1ad73380234615af1f2fe93ee5235a511ce55578068ce3b9113bef34e4,615-88-9385,613-15-7837
